mission,aos_utc,los_utc,elevation_deg,s_band_candidate,uhf,s_band
CANVAS,2026-09-20T19:18:05Z,2026-09-20T19:28:38Z,21.43,False,Keep,Delete
AEPEX,2026-09-20T19:25:42Z,2026-09-20T19:30:07Z,1.74,False,Delete,Delete
COSMO,2026-09-20T20:31:24Z,2026-09-20T20:42:06Z,24.2,False,Keep_Conflict,Delete
AEPEX,2026-09-20T20:55:06Z,2026-09-20T21:06:26Z,46.15,True,Keep_Conflict,Keep_Conflict
CANVAS,2026-09-20T20:55:06Z,2026-09-20T21:06:12Z,30.99,False,Delete_Conflict,Delete
COSMO,2026-09-20T22:05:20Z,2026-09-20T22:15:51Z,19.74,False,Keep_Conflict,Delete
AEPEX,2026-09-20T22:30:18Z,2026-09-20T22:39:25Z,10.3,False,Keep_Conflict,Delete
CANVAS,2026-09-20T22:35:22Z,2026-09-20T22:42:59Z,5.71,False,Delete_Conflict,Delete
CANVAS,2026-09-21T00:16:48Z,2026-09-21T00:20:39Z,1.16,False,Delete,Delete
CANVAS,2026-09-21T01:54:30Z,2026-09-21T02:02:03Z,5.62,False,Keep_Conflict,Delete
CANVAS,2026-09-21T03:31:17Z,2026-09-21T03:42:20Z,30.48,False,Keep_Conflict,Delete
CANVAS,2026-09-21T05:08:50Z,2026-09-21T05:19:23Z,21.69,False,Keep_Conflict,Delete
AEPEX,2026-09-21T08:27:35Z,2026-09-21T08:33:20Z,2.93,False,Keep,Delete
COSMO,2026-09-21T09:35:26Z,2026-09-21T09:46:40Z,35.17,False,Keep,Delete
AEPEX,2026-09-21T09:59:09Z,2026-09-21T10:10:40Z,72.66,True,Keep,Keep
COSMO,2026-09-21T11:09:46Z,2026-09-21T11:19:29Z,14.32,False,Keep_Conflict,Delete
AEPEX,2026-09-21T11:34:06Z,2026-09-21T11:42:11Z,7.53,False,Keep_Conflict,Delete
CANVAS,2026-09-21T18:52:16Z,2026-09-21T19:02:33Z,18.17,False,Keep,Delete
COSMO,2026-09-21T20:14:24Z,2026-09-21T20:24:18Z,15.47,False,Keep_Conflict,Delete
CANVAS,2026-09-21T20:29:01Z,2026-09-21T20:40:14Z,35.97,False,Delete_Conflict,Delete
AEPEX,2026-09-21T20:37:18Z,2026-09-21T20:48:10Z,27.38,True,Keep_Conflict,Keep_Conflict
COSMO,2026-09-21T21:47:24Z,2026-09-21T21:58:32Z,32.1,False,Keep_Conflict,Delete
CANVAS,2026-09-21T22:09:05Z,2026-09-21T22:17:01Z,6.45,False,Delete_Conflict,Delete
AEPEX,2026-09-21T22:11:27Z,2026-09-21T22:21:44Z,17.37,False,Keep_Conflict,Delete
CANVAS,2026-09-21T23:50:37Z,2026-09-21T23:54:30Z,1.18,False,Delete,Delete
CANVAS,2026-09-22T01:28:33Z,2026-09-22T01:35:45Z,4.95,False,Keep_Conflict,Delete
CANVAS,2026-09-22T03:05:18Z,2026-09-22T03:16:13Z,26.52,False,Keep_Conflict,Delete
CANVAS,2026-09-22T04:42:46Z,2026-09-22T04:53:32Z,25.62,False,Keep_Conflict,Delete
COSMO,2026-09-22T09:18:06Z,2026-09-22T09:28:45Z,21.47,False,Keep,Delete
AEPEX,2026-09-22T09:41:06Z,2026-09-22T09:52:24Z,40.14,True,Keep,Keep
COSMO,2026-09-22T10:51:56Z,2026-09-22T11:02:31Z,22.39,False,Keep_Conflict,Delete
AEPEX,2026-09-22T11:15:30Z,2026-09-22T11:24:57Z,12.77,False,Keep_Conflict,Delete
